Congruent,Incongruent,congruent mean,incongruent mean,congruent mean difference,incongruent mean difference,congruent squared difference,incongruent squared difference
12.079,19.278,14.051125,22.01591667,-1.972125,-2.737916667,3.889277016,7.496187674
16.791,18.741,,,2.739875,-3.274916667,7.506915016,10.72507917
9.564,21.214,,,-4.487125,-0.8019166667,20.13429077,0.6430703403
8.63,15.687,,,-5.421125,-6.328916667,29.38859627,40.05518617
14.669,22.803,,,0.617875,0.7870833333,0.3817695156,0.6195001736
12.238,20.878,,,-1.813125,-1.137916667,3.287422266,1.29485434
14.692,24.572,,,0.640875,2.556083333,0.4107207656,6.533562007
8.987,17.394,,,-5.064125,-4.621916667,25.64536202,21.36211367
9.401,20.762,,,-4.650125,-1.253916667,21.62366252,1.572307007
14.48,26.282,,,0.428875,4.266083333,0.1839337656,18.19946701
22.328,24.524,,,8.276875,2.508083333,68.50665977,6.290482007
15.298,18.644,,,1.246875,-3.371916667,1.554697266,11.36982201
15.073,17.51,,,1.021875,-4.505916667,1.044228516,20.30328501
16.929,20.33,,,2.877875,-1.685916667,8.282164516,2.842315007
18.2,35.255,,,4.148875,13.23908333,17.21316377,175.2733275
12.13,22.158,,,-1.921125,0.1420833333,3.690721266,0.02018767361
18.495,25.139,,,4.443875,3.123083333,19.74802502,9.753649507
10.639,20.429,,,-3.412125,-1.586916667,11.64259702,2.518304507
11.344,17.425,,,-2.707125,-4.590916667,7.328525766,21.07651584
12.369,34.288,,,-1.682125,12.27208333,2.829544516,150.6040293
12.944,23.894,,,-1.107125,1.878083333,1.225725766,3.527197007
14.233,17.96,,,0.181875,-4.055916667,0.03307851562,16.45046001
19.71,22.058,,,5.658875,0.04208333333,32.02286627,0.001771006944
16.004,21.157,,,1.952875,-0.8589166667,3.813720766,0.7377378403
